cost,description,maintanance_company,repairment_company,work_type,year,street_name_geocode,Latitude,Longitude,id,worktype_grouped
49660,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця15 Квітня 23",49.5627525,25.6462773,83,Ремонт будинків
146500,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяКлима Савури 9",49.5382807,25.628542,84,Ремонт будинків
140030,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяРомана Купчинського 9",49.5538578,25.6461943,85,Ремонт будинків
99830,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяБ.Лепкого 5",49.5600265,25.6337183,86,Ремонт будинків
914246.8,Ремонт прибуд. території,,"КП ""МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль,     проспект Злуки,41,43  41.43  ",49.556944,25.635508,91,Ремонт будинків
274915,Ремонт прибуд. території,,"КП ""МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяДружби 1",49.5507676,25.5727102,92,Ремонт будинків
196276,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяДружби 3",49.549671,25.5732015,93,Ремонт будинків
671034.89,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяПротасевича 18",49.5377776,25.6306659,94,Ремонт будинків
289510.13,Ремонт прибуд. території,,"СБУ ""Спецбуд""ТОВ ""Тернопільбуд""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяНовий Світ 97",49.5699887,25.5837938,95,Ремонт будинків
358439,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяМ.Вербицького 5",49.55503,25.6285872,96,Ремонт будинків
762616.49,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, проспектЗлуки 57",49.556153,25.6385971,97,Ремонт будинків
415862.14,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяКарпенка 17",49.5424154,25.5808707,98,Ремонт будинків
252811.35,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяУ. Самчука 31",49.5568105,25.6164821,99,Ремонт будинків
1049635.5,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулиця Леся Курбаса 6",49.5744696,25.64191,100,Ремонт будинків
874227.86,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяРомана Купчинського 7",49.554436,25.6443829,101,Ремонт будинків
42398.35,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяГорбачевського 2а",49.5592683,25.59378,102,Ремонт будинків
166283.22,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяБроварна 23",49.5591721,25.5891494,103,Ремонт будинків
178162.44,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяЄ.Коновальця 4",49.5536921,25.6245359,104,Ремонт будинків
170458.44,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяЄ.Коновальця 6",49.5541921,25.6248499,105,Ремонт будинків
574305.88,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяГенерала М.Тарнавського 12",49.5631939,25.631843,106,Ремонт будинків
205322.22,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяМ.Вербицького 4",49.5530079,25.6263472,107,Ремонт будинків
864302.88,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяВ.Симоненка 6",49.5681026,25.6477641,108,Ремонт будинків
560509.82,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяМ.Карпенка 15",49.5425683,25.5799539,109,Ремонт будинків
650410.36,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяГалицька 52-56",49.558414,25.617794,110,Ремонт будинків
235684.22,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяДружби 7.9",49.553517,25.594767,111,Ремонт будинків
423736.84,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяЧалдаєва 12",49.5608169,25.6314593,112,Ремонт будинків
656376.09,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, проспектЗлуки 53",49.5572109,25.6366228,113,Ремонт будинків
,Ремонт покрівель,,,Ремонт покрівель,2014,"Україна, Тернопіль, nan",49.553517,25.594767,114,Ремонт будинків
158957.3,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяКиївська 1",49.5630889,25.6405484,115,Ремонт будинків
47901,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулиця 15 Квітня 23",49.5627525,25.6462773,116,Ремонт будинків
51913.41,Ремонт покрівель,,"ПП ""Люкс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяД.Лукяновича 2",49.5733922,25.5899146,117,Ремонт будинків
179456.42,Ремонт покрівель,,ПП Кульба Б.В.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяНовий Світ 36",49.5670282,25.5910984,118,Ремонт будинків
135571.37,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицявул. 15 Квітня 17",49.5633251,25.6437716,119,Ремонт будинків
209471.98,Ремонт покрівель,,"ГТОВ ""Мрія""СПД Рудніцькай А.М.",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяЖивова 18",49.5458298,25.5944894,120,Ремонт будинків
192996.4,Ремонт покрівель,,ПП Зіньчук П.В.,Ремонт покрівель,2014,"Україна, Тернопіль, проспектСтепана Бандери 98",49.5468615,25.6311039,121,Ремонт будинків
79874,Ремонт покрівель,,ПП Кульба Б.В.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяБ.Хмельницького 29",49.5561158,25.5983866,122,Ремонт будинків
129360.6,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяГалицька 35",49.5593214,25.6054107,123,Ремонт будинків
140768,Ремонт покрівель,,ПП Кульба Б.В.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяСічинського 4",49.553517,25.594767,124,Ремонт будинків
233453.91,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяКлима Савури 10",49.5397416,25.6277612,125,Ремонт будинків
238950.97,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяГенерали М.Тарнавсього 3",49.5616291,25.6237178,126,Ремонт будинків
155920.96,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяРомана Купчинського 9",49.5538578,25.6461943,127,Ремонт будинків
216111.68,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяМаксима Кривоноса 3",49.5470685,25.5676563,128,Ремонт будинків
230495.775,Ремонт покрівель,,"ПП""Люкс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяКиївська 6",49.5671136,25.6329004,129,Ремонт будинків
274497.32,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяС. Будного 26",49.54224,25.562677,130,Ремонт будинків
179472.32,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяГалицька 52",49.558414,25.617794,131,Ремонт будинків
84757.54,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулиця15 Квітня 1",49.5563791,25.6404927,132,Ремонт будинків
213969.86,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМ.Вербицького 4",49.5530079,25.6263472,138,Ремонт будинків
220761.74,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМ.Вербицького 5",49.55503,25.6285872,139,Ремонт будинків
240300.32,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМ.Вербицького 6",49.5535937,25.6274666,140,Ремонт будинків
544940.91,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛучаківського 12",49.5436888,25.5582001,141,Ремонт будинків
670679.38,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛучаківського 1",49.5482232,25.5577184,142,Ремонт будинків
194170.88,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЄ.Коновальця 4",49.5536921,25.6245359,143,Ремонт будинків
140458.52,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЄ.Коновальця 6",49.5541921,25.6248499,144,Ремонт будинків
147058.12,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЄ.Коновальця 8",49.5546814,25.6251189,145,Ремонт будинків
901391.4,Ремонт прибуд. території,,КШБМ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяРуська 13.15",49.553517,25.594767,146,Ремонт будинків
595208.26,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль,     вулицяКривоноса,12- Перемоги,2    ",49.550732,25.5654086,147,Ремонт будинків
796673.77,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця Б.Лепкого 14",49.564449,25.635576,148,Ремонт будинків
784173.88,Ремонт прибуд. території,,"СБУ""Спецбуд""ТОВ""Терн.",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця15 Квітня 29",49.5648009,25.6484073,149,Ремонт будинків
1010657.68,Ремонт прибуд. території,,"СБУ""Спецбуд""ТОВ""Терн.",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця15 Квітня 35",49.5653532,25.6471548,150,Ремонт будинків
250213.2,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяРомана Купчинського 9",49.5538578,25.6461943,151,Ремонт будинків
684318.11,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяСлівенська 3",49.5489048,25.6213984,152,Ремонт будинків
833340.83,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, бульварДанила Галицького 4",49.5474966,25.6268093,153,Ремонт будинків
749395.84,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЧернівецька 56",49.5350374,25.6002313,154,Ремонт будинків
459423.55,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектСтепана Бандери 74",49.5494009,25.6232555,155,Ремонт будинків
321771.74,Ремонт прибуд. території,,ПП МазурикВ.Р.,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяНовий Світ 91",49.5691701,25.5881568,156,Ремонт будинків
505769.79,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектЗлуки 39",49.55714,25.634686,157,Ремонт будинків
520842.12,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяДружби 9",49.5476201,25.5739617,158,Ремонт будинків
470402.67,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяКозацька 7",49.5077236,25.6117844,159,Ремонт будинків
1085992.12,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМикулинецька- бічна  4.8",49.5607195,25.587743,160,Ремонт будинків
738243.82,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяП. Чубинського 2",49.5553257,25.6262607,161,Ремонт будинків
739325.16,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяП. Чубинського 4",49.5558747,25.6278947,162,Ремонт будинків
511606.98,Ремонт прибуд. території,,Спецбуд,Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектЗлуки    33",49.558038,25.6321749,163,Ремонт будинків
811979.27,Ремонт прибуд. території,,Спецбуд,Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектЗлуки 35",49.5599361,25.6243087,164,Ремонт будинків
781060.26,Ремонт прибуд. території,,Спецбуд,Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектЗлуки 37",49.5595996,25.6254606,165,Ремонт будинків
1009990.11,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛесі Українки 17",49.5449101,25.6242564,166,Ремонт будинків
351566.25,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль,     вулицяО.Довженка, 5 5  ",49.5431721,25.6243214,167,Ремонт будинків
892448.01,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЧалдаєва 8",49.5602311,25.6303394,168,Ремонт будинків
749637.19,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяСимоненка 2",49.5681314,25.642974,169,Ремонт будинків
768003.25,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяКиївська 10",49.5629272,25.6376388,170,Ремонт будинків
594799.14,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяСимоненка 3",49.5690883,25.6425279,171,Ремонт будинків
985242.52,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, бульварП.Куліша 10",49.5651226,25.6441776,172,Ремонт будинків
471054.85,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяФабрична 3",49.5650385,25.6085947,173,Ремонт будинків
578790.86,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяФабрична 5",49.5651376,25.6093443,174,Ремонт будинків
877159.81,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяГалицька 34",49.5590606,25.60482,175,Ремонт будинків
598244.16,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, бульварДмитра Вишневецького 3",49.5696593,25.6453294,176,Ремонт будинків
280313.6,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, бульварДмитра Вишневецького 5",49.5696593,25.6453294,177,Ремонт будинків
387490.06,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, бульварДмитра Вишнівецького 7",49.5709684,25.6392629,178,Ремонт будинків
939600.01,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця15 Квітня 6",49.5579921,25.6434717,179,Ремонт будинків
813209.7,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЗа Рудкою 1",49.5586834,25.5929304,180,Ремонт будинків
776457.56,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяС.Петлюри 7",49.5708619,25.6447908,181,Ремонт будинків
149807.92,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЧалдаєва 10",49.560524,25.6308993,182,Ремонт будинків
654680.6,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяБ.Лепкого 9",49.5619242,25.6346903,183,Ремонт будинків
547165.93,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяТролейбусна 2а",49.5478338,25.5510886,184,Ремонт будинків
562511.26,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛепкого 8",49.5614184,25.6356559,185,Ремонт будинків
432418.82,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛеся Курбаса 2",49.5730297,25.6399936,186,Ремонт будинків
253867.38,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця Миру 4а",49.546835,25.5732351,187,Ремонт будинків
,Ремонт покрівель,,,Ремонт покрівель,2015,"Україна, Тернопіль, nan",49.553517,25.594767,188,Ремонт будинків
149237.61,Ремонт покрівель,,"ТОВ ""Газ-Пласт-Буд""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяМ.Грушевського 1",49.5535188,25.5940795,189,Ремонт будинків
388864.28,Ремонт покрівель,,ПП Кульба,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяГетьмана Сагайдачного 13",49.5525729,25.5922337,190,Ремонт будинків
557667.3,Ремонт покрівель,,"ТОВ ""Світлоцентр""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяЗбаразька 31",49.5614598,25.6049677,191,Ремонт будинків
166477.26,Ремонт покрівель,,ФОП Зіньчук П.В.,Ремонт покрівель,2015,"Україна, Тернопіль, проспектСтепана Бандери 100",49.5514212,25.6125652,192,Ремонт будинків
45903.44,Ремонт покрівель,,"ПП""Східний масив""",Ремонт покрівель,2015,"Україна, Тернопіль, проспектСтепана Бандери 96",49.5473942,25.6324468,193,Ремонт будинків
292596.85,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль,     вулицяУ.Самчука, 31 31  ",49.5568105,25.6164821,194,Ремонт будинків
11309.01,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяЧалдаєва 7",49.5606593,25.6274535,195,Ремонт будинків
171783.81,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль,     вулицяЄ.Коновальця, 12 12  ",49.5563584,25.6246848,196,Ремонт будинків
279890.68,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяБ. Лепкого 14",49.564449,25.635576,197,Ремонт будинків
56378.3,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяГалицька 52",49.558414,25.617794,198,Ремонт будинків
215903.94,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяД.Лукяновича 2",49.5733922,25.5899146,199,Ремонт будинків
102861.64,Ремонт покрівель,,ПП Куьба Б.В.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяНовий Світ 36",49.5670282,25.5910984,200,Ремонт будинків
199919.16,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль,     вулицяГалицька, 35 35  ",49.5593214,25.6054107,201,Ремонт будинків
296420.89,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяМедова 3",49.5482543,25.5904074,202,Ремонт будинків
275157.12,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяНовий Світ 1",49.5639263,25.5918019,203,Ремонт будинків
208556.17,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, бульварПросвіти 23",49.5441497,25.5605697,204,Ремонт будинків
240412.68,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулицяВолодимира Великого 3",49.5702203,25.6377753,205,Ремонт будинків
198133.7,Ремонт покрівель,,"ПП ""Влад-Ліс-Ан""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяКлтма Савури 7",49.5389884,25.6295047,206,Ремонт будинків
156908.63,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяВолодимира Великого 7",49.5702203,25.6377753,207,Ремонт будинків
233975.41,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулиця15 Квітня 1",49.5563791,25.6404927,208,Ремонт будинків
91466.21,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяГалицька 54",49.5586635,25.6188298,209,Ремонт будинків
135008.29,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяГенерала М.Тарнавського 16",49.5630938,25.632984,210,Ремонт будинків
59225.6,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль,     бульварДанила Галицького,3 3  ",49.5462846,25.6277924,211,Ремонт будинків
110275,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль,     вулицявул.Симоненка,12 1  ",49.567372,25.6444723,212,Ремонт будинків
305853.33,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль,     вулицявул.Київська,16 16  ",49.5614463,25.6410157,213,Ремонт будинків
105715.43,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, бульварДанила Галицького 4",49.5474966,25.6268093,214,Ремонт будинків
134514.14,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицяБ.Лепкого 6",49.5609859,25.6368525,215,Ремонт будинків
155522.16,Ремонт покрівель,,ПП Рудніцький А.М.,Ремонт покрівель,2015,"Україна, Тернопіль, вулиця15 Квітня 9",49.5598796,25.6435867,216,Ремонт будинків
34964.65,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2015,"Україна, Тернопіль, вулицявул.Чалдаєва 8",49.5602311,25.6303394,217,Ремонт будинків
1299434.38,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2016,"Україна, Тернопіль, вулиця П. Куліша 4",49.5669039,25.6417547,236,Ремонт будинків
1353629,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2016,"Україна, Тернопіль,     вулиця П.Куліша, 8 8  ",49.5659087,25.643015,237,Ремонт будинків
184227,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2016,"Україна, Тернопіль,     вулицяБ.Лепкого, 9 9  ",49.5619242,25.6346903,238,Ремонт будинків
733175.3,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2016,"Україна, Тернопіль,     вулицяБ. Лепкого, 14 14  ",49.564449,25.635576,239,Ремонт будинків
