id,cost,description,maintanance_company,repairment_company,work_type,year,street_name_geocode,Latitude,Longitude
27,93310,Заміна вікон,"ОСББ «Трембіта""",ТОВ «Планета Комфорту»,Термомодернізація,2016,"Україна, Тернопіль, вул.Чалдаєва  10",49.560524,25.6308993
28,104390,Заміна вікон,ОВК «Мрія»,ТОВ «Планета Комфорту»,Термомодернізація,2016,"Україна, Тернопіль, вул.Чалдаєва  8",49.5602311,25.6303394
29,418810,Утеплення будинку,"ОСББ «Чумацька, 27»",ПП «Західстарбуд»,Термомодернізація,2016,"Україна, Тернопіль, вул.Чумацька  27",49.5526252,25.5703275
30,48980,Заміна вікон,ПП «Тернопількомсервіс»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, пр.Злуки  3",49.5630332,25.613113
31,46510,Заміна вікон,ТОВ «КомЕнерго-Тернопіль»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, пр.Злуки  39",49.5591955075,25.6270641088
32,10000,Заміна вікон,ПП «Благоустрій»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.Б. Лепкого 5",49.5600265,25.6337183
33,74580,Заміна вікон,"ОСББ «Броварна, 23»",ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.Броварна 23",49.5591721,25.5891494
35,903790,Утеплення будинку,ПП «Тернопількомсервіс»,"ТОВ ""ЄКОДІМ ПРОЕКТ""",Термомодернізація,2017,"Україна, Тернопіль, вул.Збаразька  37",49.5624582,25.6084261
36,91010,Утеплення торців,ОСББ «Комфорт Ленд»,ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул. Карпенка  4а",49.5411303,25.5779415
37,238710,Утеплення торців,"ОСББ «Оболоня, 11»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Оболоня  11",49.5425375,25.597053
38,204210,Утеплення торців,"ОСББ «Оболоня, 19»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Оболоня  19",49.5416448,25.597439
39,94560,Утеплення торців,"ОСББ «Броварна, 12»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Броварна  12",49.5587592,25.5905361
40,187050,Утеплення торців,ГТОВ «Мрія»,ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Юрчака 2",49.5412805,25.5950238
41,163170,Утеплення під’їздів,"ОСББ «Карпенка, 12»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Карпенка  12",49.5410125454,25.5805760622
42,103170,Утеплення під’їздів,"ОСББ «Карпенка, 12»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Карпенка  12",49.5412725,25.5807586
43,22660,Заміна вікон,ОСББ «Імідж 1»,"ТзОВ ""ТЗМК""",Термомодернізація,2017,"Україна, Тернопіль, вул.В. Великого 1",49.5693983475,25.6378465891
44,25730,Заміна вікон,ТОВ «КомЕнерго-Тернопіль»,"ТзОВ ""ТЗМК""",Термомодернізація,2017,"Україна, Тернопіль, вул.Новий Світ  1",49.5639263,25.5918019
45,7560,Заміна вікон,ТОВ «КомЕнерго-Тернопіль»,"ТзОВ ""ТЗМК""",Термомодернізація,2017,"Україна, Тернопіль, вул. Броварна  14",49.5592714,25.5898988
46,67960,Заміна вікон,"ОСББ «Лукяновича, 2»","ТзОВ ""ТЗМК""",Термомодернізація,2017,"Україна, Тернопіль, вул.Лук’яновича 2",49.5733922,25.5899146
47,15180,Заміна вікон,ТОВ «КомЕнерго-Тернопіль»,"ФОП  Максим""як",Термомодернізація,2017,"Україна, Тернопіль, вул.Тарнавського   22",49.5637591,25.6337683
48,87180,Заміна вікон,ОСББ «Софія С»,ТОВ «Панорама»,Термомодернізація,2017,"Україна, Тернопіль, вул.Стадникової 20",49.5423916,25.5996756
49,65450,Заміна вікон,ОСББ «Квітневе»,"ТзОВ ""ТЗМК""",Термомодернізація,2017,"Україна, Тернопіль, вул.15 Квітня  29",49.5648009,25.6484073
50,20000,Заміна вікон,"ОСББ «Січинського, 4»","ТОВ ""Панорама""",Термомодернізація,2017,"Україна, Тернопіль, вул.Д. Січинського  4",49.551444,25.5918381
51,47010,Заміна вікон та освітлення,"ОСБб «Чернівецька, 63»","ТОВ ""ВенконІнвест""",Термомодернізація,2017,"Україна, Тернопіль, вул.Чернівецька 63",49.5353054,25.6018889
52,43130,Заміна вікон,"ОСББ «Лучаківського,1»",ТОВ «Фасад КОМ» ,Термомодернізація,2017,"Україна, Тернопіль, вул.Лучаківського 1",49.5481944699,25.5581849813
53,73500,Заміна вікон,ОСББ «Мрія-2006»,"ТОВ ""Панорама""",Термомодернізація,2017,"Україна, Тернопіль, вул.Лисенка 6",49.5566633,25.6029057
54,289990,Утеплення торців,"ОСББ «Магнолія, 90а»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, пр.С.Бандери 90а",49.54843,25.62733
55,737690,Утеплення блоку,"ОСББ «Будного, 50»",ФОП  Плекан М.В.,Термомодернізація,2017,"Україна, Тернопіль, вул.Будного 50",49.5346588,25.597622
56,676070,Утеплення будинку,"ОСББ «Великого, 8»","ТОВ ""ЄКОДІМ ПРОЕКТ""",Термомодернізація,2017,"Україна, Тернопіль, вул.В. Великого 8",49.5703915676,25.6382972002
57,1010000,Утеплення блоку,ПП «Вікторія М»,ФОП Федорчак О.Т.,Термомодернізація,2018,"Україна, Тернопіль, бул.Д. Вишневецького 5",49.5701195075,25.6457751989
58,600000,Утеплення будинку,"ОСББ «За Рудкою, 1»",ТОВ «В.Ф.Ф.»,Термомодернізація,2018,"Україна, Тернопіль, вул.За Рудкою 1",49.5586834,25.5929304
59,220000,Утеплення торців,"ОСББ «Смакули, 1»",ФОП Рєзнік В.В.,Термомодернізація,2018,"Україна, Тернопіль, вул.Смакули 1",49.5678555,25.629768
60,250000,Утеплення торців,ГТОВ «Мрія»,ФОП Лац І.Б.,Термомодернізація,2018,"Україна, Тернопіль, вул.Юрчака 2",49.5412805,25.5950238
61,170000,Утеплення під’їздів,"ОСББ «Оболоня, 11»",ФОП Лац І.Б.,Термомодернізація,2018,"Україна, Тернопіль, вул.Оболоня 11",49.5425375,25.597053
62,414000,Ремонт прибуд. території,,"СБУ ""Спецбуд""",Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяКиївська 1",49.5630889,25.6405484
63,297000,Ремонт прибуд. території,,"ТзОВ""Техно-Буд-Центр""",Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяКарпенка 13",49.5423972,25.5792384
64,140000,Ремонт прибуд. території,,КПМШРБ,Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяГалицька  37",49.5593722,25.6060732
65,361000,Ремонт прибуд. території,,КПМШРБ,Ремонт прибуд. території,2013,"Україна, Тернопіль, проспектЗлуки  43",49.5585562,25.6302253
66,410000,Ремонт прибуд. території,,КПМШРБ,Ремонт прибуд. території,2013,"Україна, Тернопіль, вулицяВолодимира Великого 6",49.5698196261,25.6392896175
67,224240,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця М. Карпенка                           12",49.5412725,25.5807586
68,120750,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, проспектСтепана Бандери 74",49.5494009,25.6232555
69,82620,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця П.Чубинського                                             1",49.5557451,25.6255678
70,149870,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяСлівенська                                   5",49.5482883,25.621487
71,115130,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяРомана Купчинського               7",49.554436,25.6443829
72,120450,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяЛеся Курбаса                                     6",49.573940049,25.642889142
73,277800,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, бульварТараса Шевченка                        4",49.5554046852,25.5861423
74,268400,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяНад Ставом 6",49.5513155232,25.5859673023
75,86110,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяЧалдаєва 6",49.5598529,25.6294216
76,133560,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяГенерала М.Тарнавського 18",49.564583,25.6334338
77,86820,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця15 Квітня                                  15",49.5629922617,25.6447935104
78,132660,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяМ.Карпенка 3",49.5415493,25.5767507
79,121570,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, бульварС. Петлюри 7",49.558514,25.6447704
80,103750,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяВолодимира Великого 7",49.5714490001,25.6359153986
81,47600,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, проспектСтепана Бандери 106",49.5459856,25.6325566
82,85650,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяКиївська 1",49.5630889,25.6405484
83,49660,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулиця15 Квітня 23",49.5627525,25.6462773
84,146500,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяКлима Савури 9",49.5382807,25.628542
85,140030,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяРомана Купчинського 9",49.5538578,25.6461943
86,99830,Ремонт покрівель,,,Ремонт покрівель,2013,"Україна, Тернопіль, вулицяБ.Лепкого 5",49.5600265,25.6337183
87,701000,Ремонт міжкв. проїздів,,КПМШРБ,Ремонт міжкв. проїздів,2013,"Україна, Тернопіль,     вулиця Полковника Морозенка, 5 5  ",49.5700475,25.6456634
88,328000,Ремонт міжкв. проїздів,,"СБУ""Спецбуд""ТОВ""Тернопільбуд""",Ремонт міжкв. проїздів,2013,"Україна, Тернопіль, вулиця15 Квітня   37.39",49.5668205318,25.6494390965
89,673000,Ремонт міжкв. проїздів,,КПМШРБ,Ремонт міжкв. проїздів,2013,"Україна, Тернопіль,     вулицяБ.Лепкого, 6     ",49.5609859,25.6368525
90,262000,Ремонт міжкв. проїздів,,"СБУ""Спецбуд""ТОВ""Тернопільбуд""",Ремонт міжкв. проїздів,2013,"Україна, Тернопіль,     вулицявул.Лепкого-обл.навчально-реабіліт.центр(Бойчуків,6)    ",49.5606608359,25.636703968
91,914246.8,Ремонт прибуд. території,,"КП ""МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль,     проспект Злуки,41,43 ",49.5586763934,25.6293869019
92,274915,Ремонт прибуд. території,,"КП ""МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяДружби 1",49.5497868276,25.5731195211
93,196276,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяДружби 3",49.5489970124,25.5735433102
94,671034.89,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяПротасевича 18",49.5377776,25.6306659
95,289510.13,Ремонт прибуд. території,,"СБУ ""Спецбуд""ТОВ ""Тернопільбуд""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяНовий Світ 97",49.5692000728,25.5851948261
96,358439,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяМ.Вербицького 5",49.55503,25.6285872
97,762616.49,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, проспектЗлуки 57",49.556153,25.6385971
98,415862.14,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяКарпенка 17",49.5424154,25.5808707
99,252811.35,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяУ. Самчука 31",49.5568105,25.6164821
100,1049635.5,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулиця Леся Курбаса 6",49.5739998806,25.6428408623
101,874227.86,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяРомана Купчинського 7",49.554436,25.6443829
102,42398.35,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяГорбачевського 2а",49.5592683,25.59378
103,166283.22,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяБроварна 23",49.5591721,25.5891494
104,178162.44,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяЄ.Коновальця 4",49.5536921,25.6245359
105,170458.44,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяЄ.Коновальця 6",49.5541921,25.6248499
106,574305.88,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяГенерала М.Тарнавського 12",49.5631939,25.631843
107,205322.22,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяМ.Вербицького 4",49.5530079,25.6263472
108,864302.88,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяВ.Симоненка 6",49.5681026,25.6477641
109,560509.82,Ремонт прибуд. території,,"ТзОВ ""Техно-буд-центр""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяМ.Карпенка 15",49.5425683,25.5799539
110,650410.36,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяГалицька 52-56",49.558414,25.617794
111,235684.22,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяДружби 7.9",49.5479531466,25.5738973618
112,423736.84,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, вулицяЧалдаєва 12",49.5608169,25.6314593
113,656376.09,Ремонт прибуд. території,,"КП МШРБП""",Ремонт прибуд. території,2014,"Україна, Тернопіль, проспектЗлуки 53",49.5572109,25.6366228
115,158957.3,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяКиївська 1",49.5630889,25.6405484
116,47901,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулиця 15 Квітня 23",49.5627525,25.6462773
117,51913.41,Ремонт покрівель,,"ПП ""Люкс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяД.Лукяновича 2",49.5733922,25.5899146
118,179456.42,Ремонт покрівель,,ПП Кульба Б.В.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяНовий Світ 36",49.5667825402,25.5906182528
119,135571.37,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицявул. 15 Квітня 17",49.5633251,25.6437716
120,209471.98,Ремонт покрівель,,"ГТОВ ""Мрія""СПД Рудніцькай А.М.",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяЖивова 18",49.5458298,25.5944894
121,192996.4,Ремонт покрівель,,ПП Зіньчук П.В.,Ремонт покрівель,2014,"Україна, Тернопіль, проспектСтепана Бандери 98",49.5468615,25.6311039
122,79874,Ремонт покрівель,,ПП Кульба Б.В.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяБ.Хмельницького 29",49.5561158,25.5983866
123,129360.6,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяГалицька 35",49.5593214,25.6054107
124,140768,Ремонт покрівель,,ПП Кульба Б.В.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяСічинського 4",49.5514678511,25.5918037891
125,233453.91,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяКлима Савури 10",49.5397416,25.6277612
126,238950.97,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяГенерали М.Тарнавсього 3",49.5616291,25.6237178
127,155920.96,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяРомана Купчинського 9",49.5538578,25.6461943
128,216111.68,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяМаксима Кривоноса 3",49.5470685,25.5676563
129,230495.77,Ремонт покрівель,,"ПП""Люкс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяКиївська 6",49.5671136,25.6329004
130,274497.32,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулицяС. Будного 26",49.54224,25.562677
131,179472.32,Ремонт покрівель,,СПД Рудніцькай А.М.,Ремонт покрівель,2014,"Україна, Тернопіль, вулицяГалицька 52",49.558414,25.617794
132,84757.54,Ремонт покрівель,,"ПП ""Комфорт-еко-сервіс""",Ремонт покрівель,2014,"Україна, Тернопіль, вулиця15 Квітня 1",49.5563791,25.6404927
133,311030,Ремонт міжкв. проїздів,,КП МШРБ,Ремонт міжкв. проїздів,2014,"Україна, Тернопіль, вулиця-бульвар15 Квітня - Куліша",49.564788,25.644794
134,419476,Ремонт міжкв. проїздів,,"СБУ ""Спецбуд"" ВАТ ""Тернопільбуд""",Ремонт міжкв. проїздів,2014,"Україна, Тернопіль,     вулицявул. 15 Квітня, 37-39     ",49.56628,25.6497082
135,501157,Ремонт міжкв. проїздів,,"ТзОВ""Техно-Буд-Центр""",Ремонт міжкв. проїздів,2014,"Україна, Тернопіль,     вулиця.Бр.Бойчуків,7 - вул.15 Квітня     ",49.5582577,25.6429464
136,164639,Ремонт міжкв. проїздів,,"СБУ ""Спецбуд""",Ремонт міжкв. проїздів,2014,"Україна, Тернопіль, вулицякапрем.проїзду від вул.Лепкого до Терн.обл.навч.-реаб.центру(Бр.Бойчуків)",49.560874,25.6349498
137,622236,Ремонт міжкв. проїздів,,"СБУ ""Спецбуд""ВАТ""Тернопільбуд""",Ремонт міжкв. проїздів,2014,"Україна, Тернопіль,     вулицявул. Бродівська -вул. Лук""яновича     ",49.5722228,25.5890831
138,213969.86,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМ.Вербицького 4",49.5530079,25.6263472
139,220761.74,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМ.Вербицького 5",49.55503,25.6285872
140,240300.32,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМ.Вербицького 6",49.5535937,25.6274666
141,544940.91,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛучаківського 12",49.5436888,25.5582001
142,670679.38,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЛучаківського 1",49.5482074589,25.5581635237
143,194170.88,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЄ.Коновальця 4",49.5536921,25.6245359
144,140458.52,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЄ.Коновальця 6",49.5541921,25.6248499
145,147058.12,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЄ.Коновальця 8",49.5546814,25.6251189
146,901391.4,Ремонт прибуд. території,,КШБМ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяРуська 13.15",49.5507515168,25.5883866549
147,595208.26,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль,     вулицяКривоноса,12- Перемоги,2    ",49.550732,25.5654086
148,796673.77,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця Б.Лепкого 14",49.5640970763,25.6361246109
149,784173.88,Ремонт прибуд. території,,"СБУ""Спецбуд""ТОВ""Терн.",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця15 Квітня 29",49.5648009,25.6484073
150,1010657.68,Ремонт прибуд. території,,"СБУ""Спецбуд""ТОВ""Терн.",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулиця15 Квітня 35",49.5653532,25.6471548
151,250213.2,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяРомана Купчинського 9",49.5538578,25.6461943
152,684318.11,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяСлівенська 3",49.5489048,25.6213984
153,833340.83,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, бульварДанила Галицького 4",49.5474966,25.6268093
154,749395.84,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяЧернівецька 56",49.5350374,25.6002313
155,459423.55,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектСтепана Бандери 74",49.5494009,25.6232555
156,321771.74,Ремонт прибуд. території,,ПП МазурикВ.Р.,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяНовий Світ 91",49.5694443485,25.5843257904
157,505769.79,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектЗлуки 39",49.559132349,25.6273430586
158,520842.12,Ремонт прибуд. території,,"ТОВ ""Техно-Буд-Центр""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяДружби 9",49.5476201,25.5739617
159,470402.67,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяКозацька 7",49.5077236,25.6117844
160,1085992.12,Ремонт прибуд. території,,"ПАТ ""ТКВШБМ""",Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяМикулинецька- бічна  4.8",49.5209652839,25.6028008461
161,738243.82,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяП. Чубинського 2",49.5553257,25.6262607
162,739325.16,Ремонт прибуд. території,,КП МШРБ,Ремонт прибуд. території,2015,"Україна, Тернопіль, вулицяП. Чубинського 4",49.5558747,25.6278947
163,511606.98,Ремонт прибуд. території,,Спецбуд,Ремонт прибуд. території,2015,"Україна, Тернопіль, проспектЗлуки    33",49.5601539589,25.6234323978
